player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Marcus Rashford,Man Utd,28,FW,striker,15.0,983.0,4.0,1.0,0.3662,0.0916,2.0,1.1,76.9,0.3,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,Left Winger,18,50000000.0,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Tyler Adams,Bournemouth,27,M(CR),central_mid,28.0,1966.0,0.0,3.0,0.0,0.1373,7.0,0.3,84.9,1.1,6.72,3.0,1.1,1.6,1.3,1.2,0.4,0.6,0.1,0.8,37.7,0.0,0.7,0.0,1.36,-1.36,0.15,United States,Defensive Midfield,18,18000000.0,cdm,0,0,0,0,1,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,Aston Villa,33,GK,goalkeeper,37.0,3198.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.3,6.71,0.1,0.0,0.1,0.5,0.0,0.0,0.1,0.0,0.2,33.7,0.0,5.5,0.0,0.0,0.0,0.0,Argentina,Goalkeeper,18,20000000.0,goalkeeper,0,0,0,0,0,0,1,argentinian,0,0,0,0,0,1,0,0,0,0
Ayden Heaven,Man Utd,19,D(C),centre_back,4.0,171.0,0.0,0.0,0.0,0.0,1.0,0.5,85.7,0.5,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England,Centre-Back,18,5000000.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Guglielmo Vicario,Tottenham,29,GK,goalkeeper,24.0,2160.0,0.0,0.0,0.0,0.0,1.0,0.0,85.9,0.4,6.71,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.1,31.4,0.0,2.3,0.0,0.0,0.0,0.0,Italy,Goalkeeper,18,32000000.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
Lukasz Fabianski,West Ham,40,GK,goalkeeper,14.0,1161.0,0.0,0.0,0.0,0.0,2.0,0.0,63.6,0.3,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Goalkeeper,18,500000.0,goalkeeper,0,0,0,0,0,0,1,other_europe,0,0,0,0,0,0,0,0,0,0
Nico González,Man City,24,M(C),central_mid,11.0,763.0,1.0,0.0,0.118,0.0,3.0,0.8,92.3,1.5,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,Defensive Midfield,18,40000000.0,cdm,0,0,0,0,1,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Kieran Trippier,Newcastle,35,M(R),winger,25.0,1310.0,0.0,3.0,0.0,0.2061,1.0,0.2,85.4,0.9,6.7,1.5,0.5,0.6,1.7,0.6,0.1,0.9,0.2,0.4,41.5,1.0,1.4,0.1,0.14,-0.14,0.04,England,Right-Back,18,4000000.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Matty Cash,Aston Villa,28,M(CLR),central_mid,27.0,2077.0,1.0,1.0,0.0433,0.0433,7.0,0.5,84.6,0.7,6.7,2.1,0.9,1.0,2.1,0.4,0.3,0.4,0.7,0.7,28.3,0.2,0.9,0.0,0.51,0.49,0.04,Poland,Right-Back,18,25000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Matheus Nunes,Man City,27,M(CLR),central_mid,26.0,1673.0,1.0,6.0,0.0538,0.3228,4.0,0.3,88.8,0.6,6.7,1.3,0.6,1.2,1.2,0.8,0.2,0.9,0.7,0.8,41.5,0.4,1.0,0.1,1.42,-0.42,0.16,Portugal,Right-Back,18,35000000.0,fullback,0,0,0,0,0,1,0,portuguese,0,0,0,0,0,0,1,0,0,0
