player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,market_value_eur,nationality,position_tm,contract_months_remaining,tm_match_score
Jarrad Branthwaite,Everton,23,D(C),centre_back,30.0,2510.0,0.0,1.0,0.0,0.0359,4.0,0.3,82.9,2.1,6.79,1.2,0.9,0.4,6.3,0.3,0.8,0.1,0.1,0.6,39.5,0.0,2.8,0.0,1.56,-1.56,0.16,45000000.0,England,Centre-Back,,100.0
Nico O'Reilly,Man City,20,DMC,cdm,9.0,527.0,2.0,0.0,0.3416,0.0,0.0,0.9,87.7,0.7,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,England,Left-Back,,100.0
Lewis Cook,Bournemouth,29,M(CL),central_mid,36.0,2978.0,1.0,3.0,0.0302,0.0907,8.0,0.4,81.9,1.1,6.78,2.3,1.1,1.4,1.8,0.8,0.3,1.3,0.4,0.3,38.3,1.0,1.8,0.1,1.03,-0.03,0.07,13000000.0,England,Central Midfield,,100.0
Evanilson,Bournemouth,26,FW,striker,31.0,2337.0,10.0,1.0,0.3851,0.0385,1.0,2.4,71.6,1.4,6.78,0.5,0.0,1.2,0.7,0.1,0.1,0.8,0.2,1.7,11.0,0.0,0.3,0.1,13.01,-3.01,0.18,35000000.0,Brazil,Centre-Forward,,100.0
Ismaïla Sarr,Crystal Palace,28,FW,striker,38.0,2721.0,8.0,6.0,0.2646,0.1985,4.0,1.6,70.0,1.0,6.78,0.6,0.2,0.4,1.0,0.4,0.2,1.2,0.4,1.5,17.9,0.3,0.3,0.2,12.21,-4.21,0.21,35000000.0,Senegal,Right Winger,,100.0
Jurriën Timber,Arsenal,24,D(CLR),centre_back,30.0,2423.0,1.0,3.0,0.0371,0.1114,7.0,0.5,87.9,0.7,6.78,1.9,0.7,1.0,1.4,0.3,0.1,0.6,0.8,1.0,39.4,0.1,0.4,0.0,1.32,-0.32,0.09,70000000.0,Netherlands,Right-Back,,100.0
Noussair Mazraoui,Man Utd,28,M(R),winger,37.0,2850.0,0.0,1.0,0.0,0.0316,3.0,0.4,86.1,1.4,6.78,3.1,0.9,1.0,2.2,0.9,0.2,0.5,0.7,0.7,42.9,0.2,1.4,0.1,0.9,-0.9,0.07,20000000.0,Morocco,Right-Back,,100.0
Ethan Pinnock,Brentford,32,D(C),centre_back,22.0,1914.0,2.0,0.0,0.094,0.0,2.0,0.5,87.6,2.9,6.78,1.6,1.0,0.4,6.3,0.5,0.8,0.4,0.1,0.2,46.9,0.0,2.1,0.0,1.13,0.87,0.11,4000000.0,Jamaica,Centre-Back,,100.0
Milos Kerkez,Bournemouth,22,M(L),winger,38.0,3341.0,2.0,5.0,0.0539,0.1347,4.0,0.5,80.4,0.7,6.77,1.4,1.2,0.8,2.6,0.4,0.3,0.9,0.6,1.3,35.5,1.0,1.2,0.0,0.63,1.37,0.03,40000000.0,Hungary,Left-Back,,100.0
Sven Botman,Newcastle,26,D(C),centre_back,8.0,416.0,0.0,0.0,0.0,0.0,1.0,0.6,89.4,2.1,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000000.0,Netherlands,Centre-Back,,100.0
Brennan Johnson,Tottenham,24,FW,striker,33.0,2181.0,11.0,3.0,0.4539,0.1238,5.0,1.6,75.8,0.2,6.76,1.2,0.1,0.8,0.3,0.5,0.1,0.6,0.6,0.8,17.3,0.2,0.1,0.0,10.58,0.42,0.2,35000000.0,Wales,Right Winger,,100.0
Lucas Digne,Aston Villa,32,M(L),winger,32.0,2362.0,0.0,4.0,0.0,0.1524,4.0,0.4,82.8,1.2,6.76,2.0,0.8,0.7,2.6,0.7,0.1,1.1,0.3,0.5,30.6,1.1,0.9,0.1,0.7,-0.7,0.05,8000000.0,France,Left-Back,,100.0
Pedro Neto,Chelsea,26,FW,striker,35.0,2270.0,4.0,6.0,0.1586,0.2379,8.0,1.7,88.6,0.3,6.76,0.7,0.3,0.6,0.1,0.3,0.1,1.3,1.0,0.9,20.9,1.2,0.7,0.0,4.18,-0.18,0.07,60000000.0,Portugal,Right Winger,,100.0
Tyrick Mitchell,Crystal Palace,26,M(L),winger,37.0,3102.0,0.0,5.0,0.0,0.1451,2.0,0.3,73.6,0.5,6.76,2.5,0.5,0.6,2.6,0.6,0.3,1.1,0.4,0.7,27.7,0.5,1.4,0.0,1.33,-1.33,0.11,25000000.0,England,Left-Back,,100.0
Jørgen Strand Larsen,Wolves,26,FW,striker,35.0,2603.0,14.0,4.0,0.4841,0.1383,4.0,1.5,65.2,1.9,6.75,0.3,0.2,1.3,0.8,0.7,0.1,0.6,0.2,0.5,12.9,0.0,0.3,0.0,11.68,2.32,0.22,45000000.0,Norway,Centre-Forward,,100.0
James Ward-Prowse,West Ham,31,M(CR),central_mid,15.0,1043.0,1.0,1.0,0.0863,0.0863,2.0,0.9,92.8,0.7,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,England,Central Midfield,,100.0
Phil Foden,Man City,25,FW,striker,28.0,1779.0,7.0,2.0,0.3541,0.1012,2.0,1.9,88.6,0.1,6.75,0.5,0.3,0.2,0.3,0.4,0.0,1.5,0.5,1.2,30.4,1.1,1.2,0.1,6.78,0.22,0.13,80000000.0,England,Attacking Midfield,,100.0
Levi Colwill,Chelsea,23,D(CL),centre_back,35.0,3150.0,2.0,1.0,0.0571,0.0286,9.0,0.5,89.7,2.4,6.74,1.3,0.9,1.3,3.3,0.3,0.7,0.4,0.2,0.6,74.1,0.1,2.5,0.0,2.25,-0.25,0.13,50000000.0,England,Centre-Back,,100.0
Jake O'Brien,Everton,24,D(CR),centre_back,20.0,1569.0,2.0,0.0,0.1147,0.0,5.0,0.3,81.3,2.1,6.74,1.3,0.2,0.7,4.5,0.4,0.2,0.3,0.2,0.3,30.3,0.3,1.7,0.0,1.17,0.83,0.19,18000000.0,Ireland,Right-Back,,100.0
Tosin Adarabioyo,Chelsea,28,D(CR),centre_back,22.0,1405.0,1.0,1.0,0.0641,0.0641,4.0,0.6,91.3,1.9,6.73,0.8,0.5,0.4,3.6,0.2,0.3,0.0,0.2,0.4,53.5,0.0,1.9,0.0,1.51,-0.51,0.12,18000000.0,England,Centre-Back,,100.0
Amadou Onana,Aston Villa,24,DMC,cdm,26.0,1626.0,3.0,0.0,0.1661,0.0,4.0,0.7,87.7,1.3,6.73,2.1,1.0,1.2,1.5,0.5,0.3,0.4,0.5,1.2,30.7,0.1,0.7,0.0,2.55,0.45,0.15,45000000.0,Belgium,Defensive Midfield,,100.0
Maximilian Kilman,West Ham,28,D(C),centre_back,38.0,3349.0,0.0,1.0,0.0,0.0269,5.0,0.3,87.1,3.0,6.73,1.0,1.0,0.6,5.5,0.1,1.1,0.4,0.4,0.3,51.3,0.0,2.6,0.0,2.17,-2.17,0.17,16000000.0,England,Centre-Back,,100.0
